date,time,track_name,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,heartrate
04/12/2021,21:29:00,Sucre (feat. Qzen) - Original Mix,"John Tejada, Qzen",6WVN0x73z0kMmHiiFZHF9T,0.812,0.555,2,-10.051,0,0.0532,0.0238,0.889,0.104,0.73,124.989,88
04/12/2021,21:31:00,Sucre (feat. Qzen) - Original Mix,"John Tejada, Qzen",6WVN0x73z0kMmHiiFZHF9T,0.812,0.555,2,-10.051,0,0.0532,0.0238,0.889,0.104,0.73,124.989,88
04/12/2021,21:32:00,Sucre (feat. Qzen) - Original Mix,"John Tejada, Qzen",6WVN0x73z0kMmHiiFZHF9T,0.812,0.555,2,-10.051,0,0.0532,0.0238,0.889,0.104,0.73,124.989,86
05/12/2021,13:17:00,Show Me What You Do,Bailey Ibbs,1oWtRbSiDQmaP19GE8ysET,0.788,0.962,6,-4.765,0,0.0769,0.00116,0.823,0.0666,0.617,132.014,58
05/12/2021,13:18:00,DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,67
05/12/2021,13:19:00,DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,75
05/12/2021,13:20:00,DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,77
05/12/2021,13:21:00,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",6PGoSes0D9eUDeeAafB2As,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,82
05/12/2021,13:22:00,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",6PGoSes0D9eUDeeAafB2As,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,81
05/12/2021,13:23:00,A.D.H.D,Kendrick Lamar,2Fw5S2gaOSZzdN5dFoC2dj,0.609,0.799,9,-6.883,1,0.24,0.33,0,0.108,0.582,157.74,76
05/12/2021,13:24:00,A.D.H.D,Kendrick Lamar,2Fw5S2gaOSZzdN5dFoC2dj,0.609,0.799,9,-6.883,1,0.24,0.33,0,0.108,0.582,157.74,75
05/12/2021,13:26:00,A.D.H.D,Kendrick Lamar,2Fw5S2gaOSZzdN5dFoC2dj,0.609,0.799,9,-6.883,1,0.24,0.33,0,0.108,0.582,157.74,93
05/12/2021,13:27:00,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1,-5.453,1,0.329,0.00575,0,0.231,0.144,134.14,101
05/12/2021,13:28:00,Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,100
05/12/2021,13:29:00,Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,80
05/12/2021,13:30:00,Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,85
05/12/2021,13:31:00,Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,87
05/12/2021,13:32:00,Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,89
05/12/2021,13:33:00,The Sound of Neptune,Omar S,1uZHI2rWg7wHGIti4aYqdr,0.878,0.72,0,-5.772,0,0.115,0.0028,0.0583,0.0877,0.185,123.045,81
05/12/2021,13:34:00,The Sound of Neptune,Omar S,1uZHI2rWg7wHGIti4aYqdr,0.878,0.72,0,-5.772,0,0.115,0.0028,0.0583,0.0877,0.185,123.045,76
05/12/2021,13:35:00,FEEL.,Kendrick Lamar,2LTlO3NuNVN70lp2ZbVswF,0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,83
05/12/2021,13:48:00,DUCKWORTH.,Kendrick Lamar,0y9uTzK9cNKSAEHnpeRG8C,0.552,0.731,7,-6.873,1,0.615,0.0536,0,0.258,0.632,174.516,73
05/12/2021,14:02:00,Avril 14th,Aphex Twin,2MZSXhq4XDJWu6coGoXX1V,0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811,59
05/12/2021,14:03:00,Avril 14th,Aphex Twin,2MZSXhq4XDJWu6coGoXX1V,0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811,59
05/12/2021,14:04:00,Ain't No Sunshine,Bill Withers,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,59
05/12/2021,14:05:00,Ain't No Sunshine,Bill Withers,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,59
05/12/2021,14:25:00,Tondo,"Disclosure, Eko Roosevelt",23PIMIlFx1FeiCmmIf1RgZ,0.675,0.92,0,-7.153,0,0.054,0.0123,0.114,0.329,0.841,132,87
05/12/2021,14:26:00,B O D Y,KETTAMA,0Uwq5TKfVfanVZzoVCz620,0.875,0.945,6,-7.564,0,0.0669,0.00448,0.809,0.0802,0.761,128.982,86
05/12/2021,14:27:00,B O D Y,KETTAMA,0Uwq5TKfVfanVZzoVCz620,0.875,0.945,6,-7.564,0,0.0669,0.00448,0.809,0.0802,0.761,128.982,93
05/12/2021,14:28:00,It’s Time Again,FJAAK,6OrQScHNkYMIt5597o51xr,0.754,0.769,4,-6.042,0,0.166,0.0975,0.0355,0.113,0.068,133.007,93
05/12/2021,14:57:00,Did I Tell U,KETTAMA,0IH7oMeghWRo7PFShvF3ui,0.794,0.909,10,-8.906,0,0.0596,0.00186,0.875,0.0877,0.447,131.989,96
05/12/2021,14:58:00,Sex On The Beach,DJ Assault,4erJBoqNtQtSgwTmnSGY7A,0.784,0.343,7,-14.673,1,0.0824,0.00848,0.174,0.347,0.736,150.098,93
05/12/2021,14:59:00,Sex On The Beach,DJ Assault,4erJBoqNtQtSgwTmnSGY7A,0.784,0.343,7,-14.673,1,0.0824,0.00848,0.174,0.347,0.736,150.098,117
05/12/2021,15:00:00,Sur le Fil,Matthieu Faubourg,2IHa8SbfHDlka8O60X2jvz,0.795,0.673,7,-11.271,0,0.0593,0.000206,0.71,0.209,0.579,126.016,100
05/12/2021,15:01:00,Je'taime,Ghostwhip,77STfslCW3EXTYUgFVZCXW,0.753,0.775,10,-8.65,0,0.0773,0.0342,0.467,0.0473,0.165,149.972,81
05/12/2021,15:02:00,Osiris Resurrected - Palms Trax Remix,"Photonz, Palms Trax",3KtWdAFfGmFOaXqkGRODLF,0.712,0.98,2,-5.737,1,0.0694,0.00175,0.855,0.124,0.828,128.012,71
05/12/2021,15:03:00,Osiris Resurrected - Palms Trax Remix,"Photonz, Palms Trax",3KtWdAFfGmFOaXqkGRODLF,0.712,0.98,2,-5.737,1,0.0694,0.00175,0.855,0.124,0.828,128.012,93
05/12/2021,17:03:00,Tell Me Why - M&M Full Vocal,Rachel Wallace,68cpQ6mpnMiE96PbUwJs7q,0.765,0.659,7,-11.458,0,0.0788,0.00331,0.264,0.123,0.454,135.894,85
05/12/2021,17:04:00,Cafe Au Lait,Alex Agore,7CLxD7uIYSybZjyjpDZwFL,0.744,0.675,11,-9.447,0,0.0295,0.0236,0.752,0.0257,0.856,124.693,88
05/12/2021,17:05:00,Passion - Naked Edit,Gat Decor,0ZBPWoRkfZ8SLcDJaFnkUu,0.71,0.625,5,-15.3,0,0.0414,0.00418,0.935,0.109,0.183,124.876,86
05/12/2021,17:06:00,Inspiration,"Kerri Chandler, Arnold Jarvis",202tI4GzvovvGhMbqgmXDQ,0.761,0.73,1,-10.992,1,0.0636,0.0119,0.21,0.0649,0.456,122.492,84
05/12/2021,17:08:00,After da Party,Silvestre,0dEBGmh55GJAuW9W5g1p30,0.786,0.991,0,-4.034,1,0.093,0.0416,0.191,0.0998,0.257,123.998,80
05/12/2021,17:09:00,After da Party,Silvestre,0dEBGmh55GJAuW9W5g1p30,0.786,0.991,0,-4.034,1,0.093,0.0416,0.191,0.0998,0.257,123.998,79
05/12/2021,17:10:00,Panwa,wAFF,7vkXTAiQIQjj5mHwcSnAgx,0.805,0.84,10,-8.279,0,0.044,0.00022,0.868,0.0729,0.421,125.002,80
05/12/2021,17:11:00,Stop Space Return,Crazy P,6Bpxv5xnrvR4O0NNyKnFNL,0.807,0.795,9,-9.472,0,0.0528,0.000556,0.114,0.0818,0.769,115.049,88
05/12/2021,17:12:00,Stop Space Return,Crazy P,6Bpxv5xnrvR4O0NNyKnFNL,0.807,0.795,9,-9.472,0,0.0528,0.000556,0.114,0.0818,0.769,115.049,95
05/12/2021,18:32:00,FEEL.,Kendrick Lamar,2LTlO3NuNVN70lp2ZbVswF,0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,87
05/12/2021,18:33:00,FEEL.,Kendrick Lamar,2LTlO3NuNVN70lp2ZbVswF,0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,87
05/12/2021,18:34:00,FEEL.,Kendrick Lamar,2LTlO3NuNVN70lp2ZbVswF,0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,70
05/12/2021,18:35:00,Free Weed - Unkle Funkle Production,"Free Weed, Unkle Funkle",42t3o3iOVcD3iSWVnRP6SL,0.527,0.733,2,-5.973,1,0.0355,0.677,0.134,0.0644,0.584,159.993,70
05/12/2021,18:36:00,Free Weed - Unkle Funkle Production,"Free Weed, Unkle Funkle",42t3o3iOVcD3iSWVnRP6SL,0.527,0.733,2,-5.973,1,0.0355,0.677,0.134,0.0644,0.584,159.993,68
05/12/2021,18:37:00,Free Weed - Unkle Funkle Production,"Free Weed, Unkle Funkle",42t3o3iOVcD3iSWVnRP6SL,0.527,0.733,2,-5.973,1,0.0355,0.677,0.134,0.0644,0.584,159.993,67
05/12/2021,18:39:00,Free Weed - Unkle Funkle Production,"Free Weed, Unkle Funkle",42t3o3iOVcD3iSWVnRP6SL,0.527,0.733,2,-5.973,1,0.0355,0.677,0.134,0.0644,0.584,159.993,68
05/12/2021,18:40:00,House Of Cards,Radiohead,3Jc6X15OZCCyhGSHBF4hwB,0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662,65
05/12/2021,18:41:00,House Of Cards,Radiohead,3Jc6X15OZCCyhGSHBF4hwB,0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662,65
05/12/2021,18:42:00,House Of Cards,Radiohead,3Jc6X15OZCCyhGSHBF4hwB,0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662,64
05/12/2021,18:43:00,House Of Cards,Radiohead,3Jc6X15OZCCyhGSHBF4hwB,0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662,64
05/12/2021,18:44:00,House Of Cards,Radiohead,3Jc6X15OZCCyhGSHBF4hwB,0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662,59
05/12/2021,18:45:00,Every Single Thing,HOMESHAKE,7yZTPEXSUqWw7sEYKKDv2N,0.816,0.255,6,-10.016,0,0.0416,0.774,0.00684,0.114,0.323,89.922,59
05/12/2021,18:46:00,Every Single Thing,HOMESHAKE,7yZTPEXSUqWw7sEYKKDv2N,0.816,0.255,6,-10.016,0,0.0416,0.774,0.00684,0.114,0.323,89.922,59
05/12/2021,18:47:00,Every Single Thing,HOMESHAKE,7yZTPEXSUqWw7sEYKKDv2N,0.816,0.255,6,-10.016,0,0.0416,0.774,0.00684,0.114,0.323,89.922,59
